epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.753,1.26579,1.4907,1.06298,0.75791,0.75169,0.77349,0.4578,1.13451,1.09479,1.00084,0.0700221,0.00333088,0.00333088
2,528.855,1.20092,0.91157,1.03477,0.83259,0.75379,0.81301,0.48737,1.14915,1.76109,0.99553,0.0400054,0.00664755,0.00664755
3,778.984,1.19319,0.86,1.02512,0.71128,0.69197,0.73303,0.44235,1.12556,1.72556,0.96946,0.00997212,0.00994756,0.00994756
4,1027.58,1.18557,0.82412,1.02397,0.8933,0.85209,0.89198,0.56799,1.03554,0.92793,0.93426,0.00992501,0.00992501,0.00992501
5,1276.17,1.15091,0.72004,1.00683,0.83133,0.79525,0.85133,0.54136,1.033,0.80778,0.93907,0.00990001,0.00990001,0.00990001
6,1524.98,1.1274,0.66217,1.00548,0.90415,0.84805,0.90344,0.5861,1.02026,0.74996,0.93573,0.00987501,0.00987501,0.00987501
7,1773.18,1.11165,0.62017,0.99985,0.92496,0.8654,0.92777,0.6101,0.99255,0.71756,0.93408,0.00985002,0.00985002,0.00985002
8,2021.25,1.10004,0.60028,0.99494,0.93482,0.87269,0.92965,0.61827,0.98593,0.6803,0.92621,0.00982502,0.00982502,0.00982502
9,2269.94,1.09085,0.58279,0.99261,0.93094,0.86312,0.9258,0.61475,0.99193,0.67848,0.9247,0.00980002,0.00980002,0.00980002
10,2518.65,1.07806,0.56656,0.98902,0.93808,0.8938,0.94455,0.63368,0.97713,0.69446,0.92278,0.00977502,0.00977502,0.00977502
11,2773.47,1.07092,0.55413,0.98771,0.93323,0.88837,0.94558,0.63684,0.97349,0.62053,0.91967,0.00975003,0.00975003,0.00975003
12,3022.04,1.06432,0.5442,0.98788,0.93593,0.89656,0.93959,0.63998,0.95285,0.73092,0.91611,0.00972503,0.00972503,0.00972503
13,3273.1,1.06021,0.53481,0.98405,0.92497,0.887,0.93844,0.63752,0.95957,0.63917,0.9158,0.00970003,0.00970003,0.00970003
14,3525.01,1.05527,0.53138,0.97967,0.93906,0.89281,0.94432,0.64611,0.94873,0.58683,0.91229,0.00967503,0.00967503,0.00967503
15,3777.04,1.04848,0.5243,0.98025,0.93915,0.89735,0.95035,0.65268,0.94441,0.64715,0.91105,0.00965003,0.00965003,0.00965003
16,4028.3,1.04203,0.51351,0.9792,0.938,0.89701,0.95051,0.65475,0.94695,0.60665,0.91444,0.00962504,0.00962504,0.00962504
17,4280.95,1.04083,0.50863,0.97669,0.94601,0.9112,0.94917,0.65539,0.93688,0.73819,0.91112,0.00960004,0.00960004,0.00960004
18,4531.32,1.03504,0.50091,0.97928,0.95098,0.91263,0.95379,0.66158,0.92709,0.66258,0.90998,0.00957504,0.00957504,0.00957504
19,4781.86,1.02964,0.50063,0.97566,0.93958,0.90748,0.95496,0.66506,0.92769,0.60707,0.91208,0.00955005,0.00955005,0.00955005
20,5032.5,1.03124,0.49903,0.97727,0.9494,0.91336,0.95459,0.66811,0.92946,0.65595,0.91163,0.00952505,0.00952505,0.00952505
21,5283.35,1.02344,0.48745,0.97523,0.94943,0.91693,0.95776,0.67266,0.92508,0.60778,0.9072,0.00950005,0.00950005,0.00950005
22,5534.87,1.01724,0.48201,0.9744,0.95218,0.91245,0.96003,0.67559,0.92205,0.59079,0.9116,0.00947505,0.00947505,0.00947505
23,5785.46,1.0146,0.48126,0.97437,0.94952,0.91673,0.95648,0.66985,0.91928,0.73369,0.90784,0.00945005,0.00945005,0.00945005
24,6036.08,1.01624,0.47926,0.97454,0.95203,0.91398,0.95745,0.67587,0.91478,0.64545,0.90675,0.00942506,0.00942506,0.00942506
25,6287.35,1.01455,0.47753,0.97535,0.94841,0.92199,0.96155,0.67972,0.91206,0.65055,0.9088,0.00940006,0.00940006,0.00940006
26,6538.16,1.01142,0.47732,0.97423,0.94621,0.91526,0.95779,0.68101,0.9076,0.64471,0.90481,0.00937506,0.00937506,0.00937506
27,6788.86,1.00451,0.46941,0.97134,0.95705,0.92215,0.96319,0.68648,0.90512,0.6327,0.90894,0.00935007,0.00935007,0.00935007
28,7040.12,1.00557,0.47144,0.97238,0.95364,0.91818,0.96194,0.68296,0.90073,0.61682,0.90527,0.00932507,0.00932507,0.00932507
29,7290.79,1.00451,0.46964,0.97205,0.95611,0.92496,0.96287,0.68024,0.90906,0.6027,0.90584,0.00930007,0.00930007,0.00930007
30,7541.67,1.00487,0.46213,0.9731,0.95407,0.91968,0.9633,0.6868,0.89893,0.58212,0.90454,0.00927507,0.00927507,0.00927507
31,7792.82,1.00322,0.46357,0.97166,0.95946,0.92311,0.96449,0.68849,0.90006,0.60137,0.90446,0.00925008,0.00925008,0.00925008
32,8054.57,0.99934,0.45968,0.97055,0.95845,0.92247,0.96328,0.68703,0.89937,0.67191,0.90428,0.00922508,0.00922508,0.00922508
33,8305.4,0.99722,0.45559,0.97173,0.95745,0.92365,0.96244,0.69077,0.89581,0.67935,0.90477,0.00920008,0.00920008,0.00920008
34,8556.31,0.99388,0.4546,0.97153,0.95681,0.92659,0.96739,0.69545,0.89351,0.5677,0.90509,0.00917508,0.00917508,0.00917508
35,8806.34,0.99159,0.45108,0.97405,0.95322,0.92576,0.96256,0.68843,0.89767,0.62573,0.90653,0.00915009,0.00915009,0.00915009
36,9056.16,0.99546,0.45804,0.97649,0.95791,0.92887,0.96835,0.69634,0.89068,0.58257,0.90816,0.00912509,0.00912509,0.00912509
37,9306.04,0.99099,0.45139,0.97495,0.95737,0.91859,0.96203,0.69274,0.89034,0.60655,0.90595,0.00910009,0.00910009,0.00910009
38,9556.48,0.99242,0.45429,0.9724,0.95572,0.92504,0.96524,0.69562,0.88848,0.57758,0.90459,0.00907509,0.00907509,0.00907509
39,9806.53,0.98649,0.45176,0.97165,0.95829,0.9283,0.967,0.69826,0.88868,0.58251,0.90451,0.0090501,0.0090501,0.0090501
40,10057.1,0.98763,0.45193,0.973,0.96341,0.92902,0.96905,0.6975,0.88913,0.56013,0.90537,0.0090251,0.0090251,0.0090251
41,10307.5,0.98208,0.44021,0.97346,0.96029,0.92963,0.9681,0.69921,0.88757,0.58135,0.90721,0.0090001,0.0090001,0.0090001
42,10557.5,0.98487,0.44429,0.97291,0.964,0.93288,0.97023,0.69922,0.88693,0.5969,0.90639,0.0089751,0.0089751,0.0089751
43,10808.3,0.98019,0.43919,0.97158,0.96268,0.9327,0.97038,0.70202,0.88452,0.59642,0.90445,0.0089501,0.0089501,0.0089501
44,11058.1,0.98363,0.44435,0.9711,0.96177,0.93012,0.96925,0.70334,0.88316,0.58506,0.90372,0.00892511,0.00892511,0.00892511
45,11308.5,0.9797,0.43841,0.9689,0.96358,0.93217,0.97054,0.70112,0.88644,0.56093,0.90299,0.00890011,0.00890011,0.00890011
46,11558.3,0.98173,0.44019,0.97094,0.96311,0.93246,0.96929,0.70203,0.88335,0.56501,0.90356,0.00887511,0.00887511,0.00887511
47,11808.6,0.97547,0.43461,0.97117,0.96423,0.93434,0.97127,0.70567,0.8802,0.5843,0.90479,0.00885012,0.00885012,0.00885012
48,12058.6,0.97668,0.43551,0.97189,0.96435,0.93446,0.97118,0.70327,0.88188,0.57306,0.90553,0.00882512,0.00882512,0.00882512
49,12309,0.97673,0.4347,0.9725,0.96228,0.93201,0.9696,0.70315,0.88138,0.57186,0.90518,0.00880012,0.00880012,0.00880012
50,12559.5,0.97186,0.43487,0.96984,0.96464,0.93443,0.97148,0.7063,0.87848,0.57983,0.90315,0.00877512,0.00877512,0.00877512
51,12810,0.97782,0.43397,0.96826,0.96486,0.93333,0.97123,0.70635,0.87897,0.56354,0.90219,0.00875012,0.00875012,0.00875012
52,13060.9,0.9723,0.43205,0.96892,0.96464,0.93358,0.97176,0.70692,0.87891,0.56533,0.90327,0.00872513,0.00872513,0.00872513
53,13311.9,0.97251,0.43057,0.96841,0.96332,0.93562,0.97143,0.70801,0.87725,0.5824,0.90371,0.00870013,0.00870013,0.00870013
54,13561.6,0.97048,0.43208,0.96957,0.96513,0.93541,0.97209,0.70812,0.87747,0.59791,0.90358,0.00867513,0.00867513,0.00867513
55,13811.8,0.97247,0.42971,0.97073,0.96368,0.9366,0.97174,0.70733,0.87781,0.5807,0.9044,0.00865013,0.00865013,0.00865013
56,14061.9,0.97055,0.43072,0.96965,0.96472,0.93643,0.97151,0.70645,0.87795,0.57276,0.90409,0.00862514,0.00862514,0.00862514
57,14312.4,0.96909,0.43081,0.96896,0.96568,0.93608,0.97244,0.70771,0.87762,0.56769,0.90325,0.00860014,0.00860014,0.00860014
58,14563.5,0.96638,0.42731,0.96921,0.96493,0.93718,0.97218,0.70722,0.87889,0.57203,0.90563,0.00857514,0.00857514,0.00857514
59,14814.2,0.96911,0.4274,0.97011,0.96471,0.93778,0.97242,0.70863,0.87794,0.57149,0.90596,0.00855015,0.00855015,0.00855015
60,15064.7,0.96716,0.42772,0.96811,0.96434,0.93661,0.97165,0.708,0.87746,0.58134,0.90502,0.00852515,0.00852515,0.00852515
61,15315.4,0.96904,0.4251,0.97095,0.96599,0.93611,0.97233,0.70858,0.87654,0.58901,0.90539,0.00850015,0.00850015,0.00850015
62,15565.6,0.96575,0.42464,0.96948,0.96481,0.93857,0.97268,0.70975,0.87529,0.59378,0.90573,0.00847515,0.00847515,0.00847515
63,15815.7,0.96319,0.42422,0.96619,0.9642,0.93902,0.97284,0.70972,0.87637,0.5935,0.90502,0.00845015,0.00845015,0.00845015
64,16066.4,0.96572,0.42798,0.96799,0.96565,0.93791,0.97264,0.70937,0.87607,0.57468,0.90435,0.00842516,0.00842516,0.00842516
